Question,Chapter,Marks,Type,Paragraph,CaseID
Define inertia.,Motion,1,Normal,,
What is the unit of pressure?,Pressure,2,Normal,,
Explain Newton's third law with an example.,Force and Laws of Motion,3,Normal,,
How does a hydraulic lift work?,Pressure,4,Normal,,
What is the unit of work?\nA) Joule\nB) Newton\nC) Watt\nD) Pascal,Work and Energy,1,MCQ,,
Acceleration is given by?\nA) v/t\nB) u/t\nC) (v-u)/t\nD) (u-v)/t,Motion,2,MCQ,,
Which law explains action-reaction?\nA) 1st Law\nB) 2nd Law\nC) 3rd Law\nD) Newton's Universal Law,Force and Laws of Motion,3,MCQ,,
Sound cannot travel in?\nA) Air\nB) Water\nC) Vacuum\nD) Metal,Sound,4,MCQ,,
Which material floats on water?\nA) Iron\nB) Rock\nC) Wood\nD) Steel,Floatation,5,MCQ,,
Assertion: Work done is zero when displacement is zero.\nReason: Work depends on displacement.,Work and Energy,1,AssertionReason,,
Assertion: Pressure is inversely proportional to area.\nReason: More area means less pressure.,Pressure,2,AssertionReason,,
Assertion: Newton's laws apply in all frames.\nReason: Inertial frames follow Newton's laws.,Motion,3,AssertionReason,,
Assertion: Satellites stay in orbit due to gravity.\nReason: Outward force balances gravity.,Gravitation,4,AssertionReason,,
Assertion: Buoyant force helps objects float.\nReason: It depends on volume of fluid displaced.,Floatation,5,AssertionReason,,
State Archimedes' principle.,Floatation,1,Normal,,
Define acceleration.,Motion,1,Normal,,
State the law of conservation of energy.,Work and Energy,2,Normal,,
Describe the concept of inertia of motion.,Motion,3,Normal,,
Explain Pascal's Law with a practical example.,Pressure,4,Normal,,
What is the reason for atmospheric pressure?,Pressure,2,Normal,,
Explain how work and energy are related.,Work and Energy,3,Normal,,
Describe the motion of planets under gravity.,Gravitation,4,Normal,,
How does friction affect motion?,Motion,2,Normal,,
Why do we use ball bearings?,Motion,1,Normal,,
Which of these is a vector quantity?\nA) Speed\nB) Velocity\nC) Distance\nD) Mass,Motion,1,MCQ,,
Energy is measured in?\nA) Newton\nB) Pascal\nC) Joule\nD) Watt,Work and Energy,1,MCQ,,
Which force keeps satellite in orbit?\nA) Normal\nB) Tension\nC) Gravity\nD) Magnetic,Gravitation,2,MCQ,,
What happens when pressure increases?\nA) Volume increases\nB) Volume decreases\nC) Mass decreases\nD) Temperature drops,Pressure,3,MCQ,,
Which type of energy is stored in stretched spring?\nA) Kinetic\nB) Potential\nC) Chemical\nD) Magnetic,Work and Energy,2,MCQ,,
A stone sinks in water because?\nA) Upthrust < Weight\nB) Upthrust = Weight\nC) No upthrust\nD) Water is heavy,Floatation,3,MCQ,,
Sound travels faster in?\nA) Air\nB) Water\nC) Steel\nD) Vacuum,Sound,4,MCQ,,
Why seat belts are used?\nA) Comfort\nB) Newton's 1st Law\nC) Style\nD) Airbags,Force and Laws of Motion,2,MCQ,,
Assertion: Force changes motion.\nReason: Force is scalar.,Force and Laws of Motion,1,AssertionReason,,
Assertion: Energy is conserved.\nReason: Total energy remains constant.,Work and Energy,2,AssertionReason,,
Assertion: Velocity has direction.\nReason: It is scalar.,Motion,2,AssertionReason,,
Assertion: Gravity is a non-contact force.\nReason: It acts without touching.,Gravitation,3,AssertionReason,,
Assertion: Denser fluids exert more upthrust.\nReason: Upthrust depends on fluid density.,Floatation,4,AssertionReason,,
Assertion: Sound travels in solids.\nReason: Solids are tightly packed.,Sound,3,AssertionReason,,
Assertion: Pressure depends on area.\nReason: Smaller area = more pressure.,Pressure,2,AssertionReason,,
Assertion: Newton's 3rd Law explains recoil.\nReason: Reaction follows action.,Force and Laws of Motion,3,AssertionReason,,
Assertion: Energy stored in fuel is chemical.\nReason: Energy changes form.,Work and Energy,2,AssertionReason,,
Assertion: Satellites do not fall.\nReason: They are in free fall.,Gravitation,3,AssertionReason,,
State Newton's 1st law.,Force and Laws of Motion,1,Normal,,
Define potential energy.,Work and Energy,1,Normal,,
Explain balanced and unbalanced forces.,Force and Laws of Motion,3,Normal,,
Describe types of motion with examples.,Motion,4,Normal,,
Why does ice float on water?,Floatation,2,Normal,,
How do submarines control depth?,Floatation,4,Normal,,
Why is vacuum a bad conductor of sound?,Sound,2,Normal,,
What is kinetic energy? Give examples.,Work and Energy,3,Normal,,
How does air pressure affect weather?,Pressure,5,Normal,,
Define thrust.,Pressure,1,Normal,,
What causes echoes?,Sound,2,Normal,,
How does gravity affect tides?,Gravitation,2,Normal,,
How can energy be transformed?,Work and Energy,3,Normal,,
Define momentum.,Force and Laws of Motion,1,Normal,,
What is the speed of the car at the start?,Motion,1,CaseBased,"A car travels a distance of 100 km in 2 hours. It starts from rest and gradually increases its speed.",case1
How much distance does the car travel in 2 hours?,Motion,1,CaseBased,"A car travels a distance of 100 km in 2 hours. It starts from rest and gradually increases its speed.",case1
What is the average speed of the car?,Motion,1,CaseBased,"A car travels a distance of 100 km in 2 hours. It starts from rest and gradually increases its speed.",case1
Is the motion of the car uniform or non-uniform?,Motion,1,CaseBased,"A car travels a distance of 100 km in 2 hours. It starts from rest and gradually increases its speed.",case1
Explain how you concluded the nature of the motion.,Motion,1,CaseBased,"A car travels a distance of 100 km in 2 hours. It starts from rest and gradually increases its speed.",case1
What is terminal velocity?,Motion,2,Normal,,
Define displacement.,Motion,1,Normal,,
How does mass differ from weight?,Gravitation,2,Normal,,
What is simple harmonic motion?,Motion,3,Normal,,
Explain the working of a lever.,Force and Laws of Motion,4,Normal,,
What are the applications of sound waves?,Sound,3,Normal,,
How does density affect buoyancy?,Floatation,3,Normal,,
What is atmospheric pressure at sea level?,Pressure,2,Normal,,
Define power and its unit.,Work and Energy,2,Normal,,
How does friction generate heat?,Motion,3,Normal,,
What is the difference between mass and density?\nA) Mass is amount of matter density is mass per volume\nB) Mass is weight density is volume\nC) No difference\nD) Mass is force density is area,Gravitation,2,MCQ,,
Which has more kinetic energy?\nA) Fast moving light object\nB) Slow moving heavy object\nC) Depends on both mass and velocity\nD) Both have same energy,Work and Energy,3,MCQ,,
Resonance occurs when?\nA) Frequency matches\nB) Amplitude increases\nC) Sound becomes loud\nD) Waves cancel out,Sound,3,MCQ,,
What determines the pitch of sound?\nA) Amplitude\nB) Frequency\nC) Wavelength\nD) Speed,Sound,2,MCQ,,
Which law explains swimming?\nA) Archimedes Principle\nB) Pascal's Law\nC) Newton's 3rd Law\nD) Conservation of energy,Floatation,3,MCQ,,
Hydraulic brakes work on?\nA) Archimedes Principle\nB) Pascal's Law\nC) Bernoulli's Principle\nD) Newton's Law,Pressure,4,MCQ,,
Work is maximum when angle between force and displacement is?\nA) 0°\nB) 45°\nC) 90°\nD) 180°,Work and Energy,3,MCQ,,
Free fall acceleration depends on?\nA) Mass of object\nB) Height of fall\nC) Neither mass nor height\nD) Both mass and height,Gravitation,2,MCQ,,
Momentum is conserved in?\nA) Elastic collision\nB) Inelastic collision\nC) Both elastic and inelastic\nD) Neither collision,Force and Laws of Motion,3,MCQ,,
Which type of motion is circular motion?\nA) Uniform motion\nB) Non-uniform motion\nC) Oscillatory motion\nD) Random motion,Motion,2,MCQ,,
Assertion: Friction opposes motion.\nReason: It acts opposite to direction of motion.,Motion,2,AssertionReason,,
Assertion: Sound needs medium to travel.\nReason: Sound waves are mechanical waves.,Sound,3,AssertionReason,,
Assertion: Work done against gravity is stored as potential energy.\nReason: Potential energy depends on height.,Work and Energy,3,AssertionReason,,
Assertion: Objects float when density is less than fluid.\nReason: Buoyant force exceeds weight.,Floatation,3,AssertionReason,,
Assertion: Pressure at bottom of container is maximum.\nReason: Pressure increases with depth.,Pressure,3,AssertionReason,,
Assertion: All planets revolve around sun.\nReason: Sun's gravitational force keeps them in orbit.,Gravitation,4,AssertionReason,,
Assertion: Momentum of system remains constant.\nReason: External forces are absent.,Force and Laws of Motion,4,AssertionReason,,
Assertion: Kinetic energy increases with speed.\nReason: KE is proportional to square of velocity.,Work and Energy,3,AssertionReason,,
Assertion: Echo is heard after reflection of sound.\nReason: Sound reflects from hard surfaces.,Sound,3,AssertionReason,,
Assertion: Circular motion requires centripetal force.\nReason: Direction of velocity changes continuously.,Motion,4,AssertionReason,,
What is uniform circular motion?,Motion,3,Normal,,
Explain Doppler effect.,Sound,4,Normal,,
How does a rocket work in space?,Force and Laws of Motion,4,Normal,,
What is escape velocity?,Gravitation,3,Normal,,
Define efficiency of a machine.,Work and Energy,3,Normal,,
How does a barometer work?,Pressure,4,Normal,,
What is the principle behind sonar?,Sound,4,Normal,,
Explain why oil floats on water.,Floatation,2,Normal,,
How does an inclined plane help in doing work?,Work and Energy,4,Normal,,
What causes ocean tides?,Gravitation,3,Normal,,
The SI unit of frequency is?\nA) Hertz\nB) Joule\nC) Newton\nD) Pascal,Sound,1,MCQ,,
Which has maximum gravitational force?\nA) Earth-Moon\nB) Earth-Sun\nC) Moon-Sun\nD) All equal,Gravitation,3,MCQ,,
Efficiency of machine is always?\nA) Greater than 100%\nB) Equal to 100%\nC) Less than 100%\nD) Zero,Work and Energy,2,MCQ,,
Manometer is used to measure?\nA) Temperature\nB) Pressure\nC) Volume\nD) Density,Pressure,2,MCQ,,
Which wave property determines loudness?\nA) Frequency\nB) Wavelength\nC) Amplitude\nD) Speed,Sound,2,MCQ,,
Specific gravity is ratio of?\nA) Weight to volume\nB) Mass to weight\nC) Density of substance to density of water\nD) Volume to mass,Floatation,3,MCQ,,
Newton's second law gives relation between?\nA) Force and acceleration\nB) Mass and weight\nC) Work and energy\nD) Momentum and velocity,Force and Laws of Motion,2,MCQ,,
Potential energy is maximum at?\nA) Lowest point\nB) Highest point\nC) Middle point\nD) All points same,Work and Energy,2,MCQ,,
Geostationary satellite has period of?\nA) 12 hours\nB) 24 hours\nC) 6 hours\nD) 48 hours,Gravitation,3,MCQ,,
Velocity-time graph of uniform motion is?\nA) Straight line parallel to time axis\nB) Straight line passing through origin\nC) Curved line\nD) Zigzag line,Motion,2,MCQ,,
Assertion: Machines make work easier.\nReason: They reduce force required.,Work and Energy,2,AssertionReason,,
Assertion: Satellites appear stationary.\nReason: Their orbital period equals Earth's rotation.,Gravitation,4,AssertionReason,,
Assertion: Submarine uses ballast tanks.\nReason: To control average density.,Floatation,4,AssertionReason,,
Assertion: Ultrasonic waves are used in SONAR.\nReason: They have high frequency.,Sound,4,AssertionReason,,
Assertion: Pressure cooker cooks food faster.\nReason: High pressure increases boiling point.,Pressure,3,AssertionReason,,
Assertion: Moon has no atmosphere.\nReason: Its gravitational pull is weak.,Gravitation,3,AssertionReason,,
Assertion: Rolling friction is less than sliding friction.\nReason: Contact area is less in rolling.,Motion,3,AssertionReason,,
Assertion: Pendulum motion is periodic.\nReason: It repeats after fixed time interval.,Motion,3,AssertionReason,,
Assertion: Nuclear energy is enormous.\nReason: Small mass converts to huge energy.,Work and Energy,4,AssertionReason,,
Assertion: Sound travels faster in warm air.\nReason: Molecules move faster in warm air.,Sound,3,AssertionReason,,
What is centripetal acceleration?,Motion,2,Normal,,
How does a pulley reduce effort?,Force and Laws of Motion,3,Normal,,
What is the universal law of gravitation?,Gravitation,3,Normal,,
Explain the working of a steam engine.,Work and Energy,5,Normal,,
How does sound travel through different media?,Sound,3,Normal,,
What factors affect buoyant force?,Floatation,3,Normal,,
How is pressure related to force and area?,Pressure,2,Normal,,
What is the difference between work and power?,Work and Energy,2,Normal,,
How does air resistance affect falling objects?,Motion,3,Normal,,
What is weightlessness?,Gravitation,2,Normal,,
Calculate the force applied by the hydraulic system.,Pressure,2,CaseBased,"A hydraulic lift uses a small piston of area 10 cm² and a large piston of area 500 cm². If 50 N force is applied on small piston.",case2
What is the mechanical advantage of this system?,Pressure,2,CaseBased,"A hydraulic lift uses a small piston of area 10 cm² and a large piston of area 500 cm². If 50 N force is applied on small piston.",case2
How much force is transmitted to the large piston?,Pressure,2,CaseBased,"A hydraulic lift uses a small piston of area 10 cm² and a large piston of area 500 cm². If 50 N force is applied on small piston.",case2
What principle does this hydraulic system follow?,Pressure,1,CaseBased,"A hydraulic lift uses a small piston of area 10 cm² and a large piston of area 500 cm². If 50 N force is applied on small piston.",case2
Why is this system useful?,Pressure,1,CaseBased,"A hydraulic lift uses a small piston of area 10 cm² and a large piston of area 500 cm². If 50 N force is applied on small piston.",case2
What is the initial kinetic energy of the ball?,Work and Energy,2,CaseBased,"A ball of mass 2 kg is thrown upward with velocity 20 m/s. It reaches maximum height and falls back.",case3
